doc|doctype|text|
11|General|George Walton Lucas Jr. (born May 14, 1944) is an American filmmaker and entrepreneur. Lucas is known for creating the Star Wars and Indiana Jones franchises and founding Lucasfilm, LucasArts and Industrial Light & Magic. He served as chairman of Lucasfilm before selling it to The Walt Disney Company in 2012.|
12|General|Jonathan "Jonah" Nolan (born 6 June 1976) is an English-American screenwriter, television producer, director and author. He is the creator of the CBS science fiction series Person of Interest (2011–2016) and co-creator of the HBO science fiction western series Westworld (2016–present).|
13|General|Westworld is an American science fiction-thriller media franchise which began in 1973 with the release of the film Westworld, written and directed by Michael Crichton. The film depicts a technologically advanced, Western-themed amusement park populated by androids that malfunction and begin killing the human visitors; it was followed by the sequel film Futureworld (1976). In 1980, there was a short-lived television series, Beyond Westworld. A television series called Westworld, produced by HBO and based on the original film, debuted on October 2, 2016. A second season aired in April 2018, with a third season ordered the following month.|
14|General|Stephen Tyrone Colbert (/koʊlˈbɛər/ kohl-BAIR; born May 13, 1964) is an American comedian, writer, producer, political commentator, actor, and television host. He is best known for hosting the satirical Comedy Central program The Colbert Report from 2005 to 2014 and the CBS talk program The Late Show with Stephen Colbert beginning in September 2015.|
15|General|David Michael Letterman (born April 12, 1947) is an American television host, comedian, writer, producer and automobile racing team owner. He hosted late night television talk shows for 33 years, beginning with the February 1, 1982, debut of Late Night with David Letterman on NBC, and ending with the May 20, 2015, broadcast of Late Show with David Letterman on CBS.|
16|General|Elizabeth Stamatina "Tina" Fey (/feɪ/; born May 18, 1970) is an American actress, comedian, writer, producer, and playwright. She is best known for her work on the NBC sketch comedy series Saturday Night Live (1997–2006) and for creating the acclaimed comedy series 30 Rock (2006–2013) and Unbreakable Kimmy Schmidt (2015–2019). Fey is also known for her work in film, with starring roles in Baby Mama (2008), Date Night (2010), Megamind (2010), Muppets Most Wanted (2014), Sisters (2015), Whiskey Tango Foxtrot (2016), and Wine Country (2019).|
17|General|Sir Patrick Stewart OBE (born 13 July 1940)[1] is an English actor whose work has included roles on stage, television, and film in a career spanning almost six decades. He has been nominated for Olivier, Golden Globe, Emmy, Screen Actors Guild, and Saturn Awards throughout his career.|
18|General|Kevin Feige (/ˈfaɪɡi/ FY-ghee; born June 2, 1973) is an American film producer who has been the president of Marvel Studios since 2007. The films he has produced have a combined worldwide box office gross of over $26.7 billion. Feige is a member of the Producers Guild of America.|
19|General|Lucasfilm Ltd. LLC is an American film and television production company that is a subsidiary of The Walt Disney Studios, a division of The Walt Disney Company. The studio is best known for creating and producing the Star Wars and Indiana Jones franchises, as well as its leadership in developing special effects, sound and computer animation for film. Lucasfilm was founded by filmmaker George Lucas in 1971 in San Rafael, California; most of the company's operations were moved to San Francisco in 2005. Disney acquired Lucasfilm in October 2012 for $2.2 billion in cash and $1.855 billion in stock.|
20|General|Game of Thrones is an American fantasy drama television series created by David Benioff and D. B. Weiss for HBO. It is an adaptation of A Song of Ice and Fire, George R. R. Martin's series of fantasy novels, the first of which is A Game of Thrones. The show was both produced and filmed in Belfast and elsewhere in the United Kingdom. Filming locations also included Canada, Croatia, Iceland, Malta, Morocco, and Spain. The series premiered on HBO in the United States on April 17, 2011, and concluded on May 19, 2019, with 73 episodes broadcast over eight seasons.|
21|General|The Masked Singer is an American reality singing competition television series adapted from the South Korean format King of Mask Singer. It premiered on Fox on January 2, 2019, and is hosted by Nick Cannon. The show features celebrities singing in head-to-toe costumes and face masks which conceal their identities from other contestants, panelists, and an audience.|
22|General|The Bachelor is an American dating and relationship reality television series that debuted on March 25, 2002 on ABC. The show is hosted by Chris Harrison. The show's success has resulted in several spin-offs including The Bachelorette, Bachelor Pad, Bachelor in Paradise, Bachelor in Paradise: After Paradise, and The Bachelor Winter Games.|
23|General|American Idol is an American singing competition television series created by Simon Fuller, produced by Fremantle USA and 19 Entertainment, and distributed by Fremantle North America. It initially aired on Fox from June 11, 2002, to April 7, 2016, for 15 seasons. Since March 11, 2018, a revival of the series has aired on ABC.|
24|General|The Voice is an international reality television singing competition franchise of Dutch origin. It is based on the reality singing competition The Voice of Holland, which was originally created by Dutch television producer John de Mol.|
25|General|The Grand Tour is a British motoring television series, conceived by Jeremy Clarkson, Richard Hammond, James May, and Andy Wilman, which launched on 18 November 2016, and is exclusively released on Amazon Prime Video. The programme's format is similar to that of the BBC series Top Gear; each episode is hosted by Clarkson, Hammond, and May, featuring a mixture of live-audience segments and pre-recorded films, reviews of cars, discussions on motoring topics, races, special motoring challenges, and celebrity timed laps (second series only).|
26|General|Salt Fat Acid Heat is an American cooking documentary television series starring Samin Nosrat. Based on her 2017 book of the same name, the four-part series premiered on Netflix on October 11, 2018.|
27|General|Chef's Table is the second original Netflix documentary series. Each episode of the series profiles a professional chef. Creator David Gelb considers it a follow-up to his documentary Jiro Dreams of Sushi.|
28|General|Anthony Bourdain: Parts Unknown is an American travel and food show on CNN which premiered on April 14, 2013. In the show, Anthony Bourdain travels the world uncovering lesser-known places and exploring their cultures and cuisine.|
29|General|Netflix, Inc. (/nɛtflɪks/) is an American media-services provider and production company headquartered in Los Gatos, California, founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California. The company's primary business is its subscription-based streaming service which offers online streaming of a library of films and television programs, including those produced in-house.|
30|General|The Walt Disney Company, commonly known as Disney (/ˈdɪzni/), is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California.|
31|General|Warner Bros. Entertainment Inc., d/b/a Warner Bros. (WB), is an American entertainment company headquartered in Burbank, California and a subsidiary of AT&T's WarnerMedia. Founded in 1923, it has operations in film, television and video games and is one of the "Big Five" major American film studios, as well as a member of the Motion Picture Association of America (MPAA).|
32|General|HBO (Home Box Office) is an American premium cable and satellite television network owned by WarnerMedia Entertainment, a division of AT&T's WarnerMedia. The programming featured on the network consists primarily of theatrically released motion pictures and original television shows, along with made-for-cable movies, documentaries and occasional comedy and concert specials.|
33|General|Hulu (/ˈhuːluː/) is a U.S.-based subscription video on demand service fully controlled and majority-owned by Walt Disney Direct-to-Consumer & International, a business segment of The Walt Disney Company, with Comcast's NBCUniversal as an equity stakeholder owning 33%.|
34|General|The British Broadcasting Corporation (BBC) is a British public service broadcaster. Its headquarters are at Broadcasting House in Westminster, London, and it is the world's oldest national broadcasting organisation and the largest broadcaster in the world by number of employees.|
35|General|Euronews is a European pay television news network, headquartered in Lyon, France. The network began broadcasting on 1 January 1993 and aimed to cover world news from a pan-European perspective.|
36|General|AT&T Inc. is an American multinational conglomerate holding company headquartered at Whitacre Tower in Downtown Dallas, Texas.|
37|General|CBS (an initialism of the network's former name, the Columbia Broadcasting System) is an American English language commercial broadcast television and radio network that is a flagship property of CBS Corporation. The company is headquartered at the CBS Building in New York City with major production facilities and operations in New York City (at the CBS Broadcast Center) and Los Angeles (at CBS Television City and the CBS Studio Center).|
38|General|Cable News Network (CNN) is an American news-based pay television channel owned by AT&T's WarnerMedia. CNN was founded in 1980 by American media proprietor Ted Turner as a 24-hour cable news channel. Upon its launch, CNN was the first television channel to provide 24-hour news coverage, and was the first all-news television channel in the United States.|
39|General|HBO Max is an upcoming American Internet video on demand service operated by WarnerMedia Entertainment. This service will launch in the spring of 2020.|
40|General|ESPN (originally an initialism for Entertainment and Sports Programming Network) is a U.S.-based pay television sports channel owned by ESPN Inc., owned jointly by The Walt Disney Company (80%) and Hearst Communications (20%).|
41|General|Disney+ (pronounced "Disney plus") is an upcoming American over-the-top subscription video on-demand service owned and operated by the Walt Disney Direct-to-Consumer & International division of The Walt Disney Company. It is set to launch in the United States on November 12, 2019. It will be focused on film and television content from Walt Disney Studios and Walt Disney Television. Original films and television series based on new and existing properties are also planned, including content from Disney, Pixar, Marvel, Lucasfilm, National Geographic, and 20th Century Fox.|
42|General|MLB Advanced Media (MLBAM) is a limited partnership of the club owners of Major League Baseball (MLB) based in New York City and is the Internet and interactive branch of the league.|
43|General|Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services.|
44|General|Amazon.com, Inc. (/ˈæməzɒn/), is an American multinational technology company based in Seattle, Washington that focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence.|
45|General|Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, search engine, cloud computing, software, and hardware.|
46|General|Facebook, Inc. is an American online social media and social networking service company based in Menlo Park, California. It was founded by Mark Zuckerberg, along with fellow Harvard College students and roommates Eduardo Saverin, Andrew McCollum, Dustin Moskovitz and Chris Hughes.|
47|General|Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports and sells computer software, consumer electronics, personal computers, and related services.|
48|General|DeepMind Technologies is a UK company founded in September 2010, currently owned by Alphabet Inc.|
49|General|Samsung Electronics Co., Ltd. (Korean: Samsung Jeonja, Hangul: 삼성전자; Hanja: 三星電子 [literally "tristar electronics"]) is a South Korean multinational electronics company headquartered in Suwon, South Korea.|
50|General|Huawei Technologies Co. Ltd. (/ˈhwɑːˌweɪ/; simplified Chinese: 华为; traditional Chinese: 華為; pinyin: About this soundHuáwéi) is a Chinese multinational technology company that provides telecommunications equipment and sells consumer electronics, including smartphones and is headquartered in Shenzhen, Guangdong province.|
51|General|Tencent Games (Chinese: 腾讯游戏; pinyin: Téngxùn Yóuxì) is the video game publishing division of Tencent Interactive Entertainment, itself a division of Tencent.|
52|General|Sony Interactive Entertainment (SIE) is a multinational video game and digital entertainment company that is a wholly owned subsidiary of Japanese conglomerate Sony Corporation.|
53|General|Xbox Game Studios, previously known as Microsoft Studios, Microsoft Game Studios, and Microsoft Games, is a division of Microsoft based in Redmond, Washington.|
54|General|Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California.|
55|General|Activision Blizzard, Inc. is an American video game and film holding company based in Santa Monica, California.|
56|General|Binance is a global cryptocurrency exchange that provides a platform for trading more than 100 cryptocurrencies. Since early 2018, Binance is considered as the biggest cryptocurrency exchange in the world in terms of trading volume.|
57|General|Bittrex is a US-based cryptocurrency exchange headquartered in Seattle, Washington.|
58|General|BitMEX is a cryptocurrency exchange and derivative trading platform. It is owned and operated by HDR Global Trading Limited, which is registered in the Seychelles and has offices worldwide.|
59|General|The New York Stock Exchange (NYSE, nicknamed "The Big Board") is an American stock exchange located at 11 Wall Street, Lower Manhattan, New York City, New York.|
60|General|The Nasdaq Stock Market (/ˈnæzˌdæk/ (About this soundlisten), also known as Nasdaq) is an American stock exchange. It is the second-largest stock exchange in the world by market capitalization, behind only the New York Stock Exchange located in the same city.|
61|General|Billions is an American television drama series created by Brian Koppelman, David Levien, and Andrew Ross Sorkin, starring Paul Giamatti and Damian Lewis, that premiered on Showtime on January 17, 2016. The series is loosely based on the activities of Preet Bharara, the former U.S. Attorney for the Southern District of New York, and his legal battles with hedge fund manager Steve Cohen of S.A.C. Capital Advisors.|
62|General|Succession is an American satirical comedy-drama television series, created by Jesse Armstrong, that premiered on June 3, 2018, on HBO. The series centers on the fictional Roy family, the dysfunctional owners of a global media empire who are fighting for control of the company amidst uncertainty about the health of the family's patriarch, Logan Roy.|
63|General|Yellowstone is an American drama television series created by Taylor Sheridan and John Linson that premiered on June 20, 2018 on Paramount Network.|
64|General|The Newsroom is an American television political drama series created and principally written by Aaron Sorkin that premiered on HBO on June 24, 2012, and concluded on December 14, 2014, consisting of 25 episodes over three seasons, with 52 to 73 minute long episodes.|
65|General|The West Wing is an American serial political drama television series created by Aaron Sorkin that was originally broadcast on NBC from September 22, 1999, to May 14, 2006.|
66|General|Mad Men is an American period drama television series created by Matthew Weiner and produced by Lionsgate Television. The series premiered on July 19, 2007, on the cable network AMC.|
67|General|Narcos is an American crime drama web television series created and produced by Chris Brancato, Carlo Bernard, and Doug Miro.|
68|General|Star Trek: Discovery is an American web television series created for CBS All Access by Bryan Fuller and Alex Kurtzman.|
69|General|The Americans is an American period spy thriller television series created by Joe Weisberg for the FX television network.|
70|General|Black Mirror is a British science fiction anthology television series created by Charlie Brooker, with Brooker and Annabel Jones serving as the programme showrunners. It examines modern society, particularly with regard to the unanticipated consequences of new technologies. Episodes are standalone, usually set in an alternative present or the near future, often with a dark and satirical tone, though some are more experimental and lighter.|
71|General|How Democracies Die is a 2018 book by Harvard University political scientists Steven Levitsky and Daniel Ziblatt about how elected leaders can gradually subvert the democratic process to increase their power.|
72|General|These Truths: A History of the United States is a book of American history by historian Jill Lepore. It traces histories of American politics, law, society, and technology from the Age of Discovery through the present day. These Truths was published by W. W. Norton in September 2018.|
73|General|21 Lessons for the 21st Century is a book written by bestseller Israeli author Yuval Noah Harari and published in August 2018 by Spiegel & Grau in the US and by Jonathan Cape in the UK.|
74|General|The Order of Time (Italian: L'ordine del tempo) is a book by Italian physicist Carlo Rovelli. It is about time in physics.|
75|General|12 Rules for Life: An Antidote to Chaos is a 2018 self-help book by Canadian clinical psychologist and psychology professor Jordan Peterson. It provides life advice through essays on abstract ethical principles, psychology, mythology, religion, and personal anecdotes.|
76|General|Bad Blood: Secrets and Lies in a Silicon Valley Startup is a nonfiction book by journalist John Carreyrou, released May 21, 2018. It covers the rise and fall of the firm Theranos, the multibillion-dollar biotech startup headed by Elizabeth Holmes.|
77|General|Mindhunter: Inside the FBI's Elite Serial Crime Unit is a 1995 non-fiction crime book written by retired FBI agent John E. Douglas and his coauthor Mark Olshaker.|
78|General|Strange Angel is an American historical period drama web television series that premiered on June 14, 2018 on CBS All Access.|
79|General|The Gene: An Intimate History is a book written by Siddhartha Mukherjee, an Indian-born American physician and oncologist. It was published on 17 May 2016 by Scribner.|
80|General|Curb Your Enthusiasm is an American comedy television series produced and broadcast by HBO that premiered on October 15, 2000. The series was created by Larry David starring as a fictionalized version of himself.|
81|General|Felix Arvid Ulf Kjellberg (/ˈʃɛlbɜːrɡ/ SHEL-burg; Swedish: [feːlɪks arvɪd ɵlf ²ɕɛlbærj] (About this soundlisten); born 24 October 1989), better known online as PewDiePie (/ˈpjuːdipaɪ/ PEW-dee-py), is a Swedish YouTuber, comedian and gamer–commentator best known for his YouTube video content, which mainly consists of comedic formatted shows.|
82|General|T-Series joined YouTube on 13 March 2006, but only started uploading videos in late 2010. Under this channel, T-Series primarily shows music videos and film trailers.|
83|General|Ryan ToysReview is a children's YouTube channel. The channel features Ryan Kaji who is 7 years old as of July 2019, along with his mother (Loann Kaji), father (Shion Kaji), and twin sisters (Emma and Kate). Usually, his channel releases a new video every day.|
84|General|Dua Lipa (/ˈduːə ˈliːpə/; born 22 August 1995) is an English singer and songwriter. After working as a model she signed with Warner Music Group in 2015 and soon released her first song "New Love".|
85|General|Ingrid Nilsen (born February 2, 1989) is an American YouTube personality from Rowland Heights, California. Nilsen began a YouTube channel with the name Missglamorazzi on October 23, 2009, because she wanted to share her feeling of confidence with other people and push herself to overcome her fear of public speaking.|
86|General|Louis John Cole (born 28 April 1983), better known by his online alias FunForLouis, is an English-born film-maker and YouTube personality based in Venice Beach, Los Angeles, California. He has a following of over 2 million on YouTube and is best known for posting a daily video blog on the channel FunForLouis, which documents his life and travels adventuring all over the globe.|
87|General|The King of Random (TKOR) is a YouTube channel created by Grant Thompson in 2010 that conducts DIY projects and experiments often involving large amounts of a single item. The channel was originally hosted solely by Thompson, but is now hosted by Nate Bonham and Calli Gade.|
88|General|AsapScience, stylized as AsapSCIENCE, is a YouTube channel created by Canadian YouTubers Mitchell Moffit and Gregory Brown. The channel produces weekly videos that touch on many different topics of science.|
89|General|Smosh is an American sketch comedy YouTube channel created by Anthony Padilla and Ian Hecox.|
90|General|Kurzgesagt (/ˌkʊərtsɡəˈzɑːkt/) is a Munich-based animation studio founded by Philipp Dettmer in 2013. The studio's YouTube channel focuses on producing minimalist animated educational content discussing scientific, technological, political, philosophical and psychological subjects.|
91|General|ARD (German pronunciation: [ˌʔaː.ʔɛɐ̯.ˈdeː]; full name: Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland – Working group of public broadcasters of the Federal Republic of Germany) is a joint organisation of Germany's regional public-service broadcasters. It was founded in 1950 in West Germany to represent the common interests of the new, decentralised, post-war broadcasting services – in particular the introduction of a joint television network.|
92|General|Zweites Deutsches Fernsehen (German pronunciation: [ˌtsvaɪ̯.təs.ˌdɔʏ̯.tʃəs.ˈfɛɐ̯n.zeːn]; English: Second German Television), usually shortened to ZDF ([ˌtsɛ.teː.ˈʔɛf], stylized as 2DF), is a German public-service television broadcaster based in Mainz, Rhineland-Palatinate. It is run as an independent nonprofit institution, which was founded by all federal states of Germany (Bundesländer). ZDF is financed by television licence fees and advertising revenues.|
93|General|Rundfunk Berlin-Brandenburg (RBB) (Berlin-Brandenburg Broadcasting) is an institution under public law (national broadcaster) for the German states of Berlin and Brandenburg, situated in Berlin and Potsdam.|
94|General|Österreichischer Rundfunk (English: Austrian Broadcasting Corporation, ORF) is an Austrian national public service broadcaster. Funded from a combination of television licence fee revenue and limited on-air advertising, ORF is the dominant player in the Austrian broadcast media.|
95|General|TF1 (té effe un pronounced [te ɛf œ̃]) is a French free-to-air television channel, controlled by TF1 Group, whose major share-holder is Bouygues.|
96|General|Deutsche Welle (German pronunciation: [ˈdɔʏtʃə ˈvɛlə]; "German wave" in German) or DW is Germany's public international broadcaster. The service is available in 30 languages. DW's satellite television service consists of channels in English, German, Spanish, and Arabic.|
97|General|RTL Group is a Luxembourg-based digital media group with interests in 61 television and 30 radio stations in 10 countries. The group operates TV channels and radio stations in Germany, France, Belgium, the Netherlands, Luxembourg, Switzerland, Spain, Hungary, and Croatia as well as production companies throughout the world. It is majority-owned by German media conglomerate Bertelsmann. Its shares are quoted on the MDAX stock exchange in Germany.|
98|General|ProSieben (German pronunciation: [pʁoːˈziːbən], sieben is German for seven) is a German free-to-air television network. It was launched on 1 January 1989. It is Germany's second-largest privately owned television company. Although ProSieben produces some of its programming itself, it also airs many American imports. On 3 May 2012, the network launched a pay-TV channel called ProSieben Fun. A third channel called ProSieben Maxx started broadcasting on 3 September 2013.|
99|General|Puls 4 is a terrestrial television channel in Austria. As its name implies, it is the fourth Austrian-wide full-service television channel, behind ORF eins, ORF 2, and ATV.|
100|General|RAI – Radiotelevisione italiana (Italian pronunciation: [ˈrai ˌradjoteleviˈzjoːne itaˈljaːna]; commercially styled as Rai since 2000; known until 1954 as Radio Audizioni Italiane) is the national public broadcasting company of Italy, owned by the Ministry of Economy and Finance.|
